Series,Image,Filter,Mean_Area,Std_Area,Mean_Perimeter,Std_Perimeter
b,rect1b,Gaussian_k3,12848.0,0.0,453.30559265358977,0.0
b,rect1b,Gaussian_k5,12946.0,0.0,450.58559265358974,0.0
b,rect1b,Kuwahara_k3,1075.5,3552.25727531101,45.06692598692311,126.91750818368422
b,rect1b,Kuwahara_k5,12870.0,0.0,465.28159265358977,0.0
b,rect1b,Median_k3,231.14285714285714,1702.4704678429966,12.40148551073265,62.255774864573965
b,rect1b,Median_k7,12870.0,0.0,468.56559265358976,0.0
b,rect2b,Gaussian_k3,3260.1666666666665,30.02452701079939,226.9860926535898,1.5728223834877366
b,rect2b,Gaussian_k5,3308.0,36.860095858077564,223.9949259869231,2.378650574497139
b,rect2b,Kuwahara_k3,1216.5,1565.0048322609102,94.63090515358978,113.63291224416385
b,rect2b,Kuwahara_k5,3240.5,19.259196937221102,235.25809265358976,1.9199460712912444
b,rect2b,Median_k3,296.77272727272725,933.5019240936258,25.71174416874131,68.56248126813752
b,rect2b,Median_k7,3246.8333333333335,25.228401103165897,233.11842598692314,1.5114462628739378
b,rect3b,Gaussian_k3,1350.25,21.223512904323826,141.53546765358976,1.1696566202843472
b,rect3b,Gaussian_k5,1403.0,20.20519735117675,139.68496765358978,1.231215653074228
b,rect3b,Kuwahara_k3,1054.3,526.390548927315,121.67229265358978,57.92630463278319
b,rect3b,Kuwahara_k5,1313.75,18.518571759182727,146.2504676535898,1.482704913114876
b,rect3b,Median_k3,152.55714285714285,420.3973846498193,21.10827836787551,47.5835973709257
b,rect3b,Median_k7,1316.0,28.469281690973517,144.56121765358978,1.3573186745841972
b,rect4b,Gaussian_k3,536.9,14.07444492688788,90.4061926535898,1.0159498215955334
b,rect4b,Gaussian_k5,828.625,303.52756773479405,116.34409265358978,35.09644316736384
b,rect4b,Kuwahara_k3,320.3333333333333,224.5904915371283,65.3843926535898,42.26179767938573
b,rect4b,Kuwahara_k5,474.5,9.902019995940222,91.42179265358979,1.7212398903116326
b,rect4b,Median_k3,43.19827586206897,135.43309964623114,11.912144377727726,25.544240605455336
b,rect4b,Median_k7,481.3,13.535508856337836,90.04979265358979,1.6284107467098095
c,rect1c,Gaussian_k3,6425.0,6401.0,238.9880926535898,226.20350000000002
c,rect1c,Gaussian_k5,12849.0,0.0,453.10859265358977,0.0
c,rect1c,Kuwahara_k3,21.177756653992397,406.11313928592705,11.963138280966218,27.427193852878116
c,rect1c,Kuwahara_k5,58.5859375,804.6863376432746,12.110092653589794,37.800912623324976
c,rect1c,Median_k3,19.80503144654088,374.17420988859413,12.774527402017466,30.218315964377357
c,rect1c,Median_k7,55.775590551181104,809.6267639378615,9.507561157526803,35.44538241661987
c,rect2c,Gaussian_k3,3271.1666666666665,29.560202224537562,230.41159265358976,1.674550785534245
c,rect2c,Gaussian_k5,3311.1666666666665,41.04232232978809,224.21559265358977,2.23250113848422
c,rect2c,Kuwahara_k3,32.791293213828425,294.2247761924075,12.5646464307985,34.148279515242656
c,rect2c,Kuwahara_k5,117.06043956043956,588.6038534932127,19.294279466776604,51.32882466649389
c,rect2c,Median_k3,25.149775784753363,250.73314917729226,11.955667989912664,33.37360531683162
c,rect2c,Median_k7,104.48223350253807,565.6252153167485,15.351013973386747,48.21144582764587
c,rect3c,Gaussian_k3,1350.375,32.26816348973087,145.09071765358976,2.309094164250341
c,rect3c,Gaussian_k5,1408.875,42.27421643271463,141.84659265358977,2.4536344471008644
c,rect3c,Kuwahara_k3,21.635375494071145,134.2033088867907,14.452969135803233,30.621979328863635
c,rect3c,Kuwahara_k5,43.69032258064516,217.33736426658797,14.922402331009149,30.304761464898917
c,rect3c,Median_k3,20.669717138103163,125.47459944643293,14.980781505503273,31.454064136355296
c,rect3c,Median_k7,38.05059523809524,208.69913223888773,12.501354558351698,27.39819074910354
c,rect4c,Gaussian_k3,445.1666666666667,196.92969698741618,78.6668426535898,31.71303866741302
c,rect4c,Gaussian_k5,943.0,516.1539083866916,135.0948783678755,64.73594958359531
c,rect4c,Kuwahara_k3,24.604430379746834,124.34546210705263,20.45251353966574,50.820497307974236
c,rect4c,Kuwahara_k5,24.754180602006688,104.26751085700286,17.791958874325577,31.833066003848064
c,rect4c,Median_k3,33.85864485981308,225.95957348716172,25.744461812468295,94.90216590354412
c,rect4c,Median_k7,26.852534562211982,162.3748855148386,17.891067307967674,48.33208148004861
